,ACTION,REWARD,A0,A1,A2,A3,V
0,0.0,-1.0,-1.4313949903193521,-1.4304950384322106,-1.4237551687223866,-1.4254100846763151,-1.0
1,3.0,-1.0,-1.4313949903193521,-1.4304950384322106,-1.4237551687223866,-1.4339697803480536,-2.0
2,2.0,-1.0,-1.4313949903193521,-1.4304950384322106,-1.419231742832413,-1.4339697803480536,-3.0
3,2.0,-1.0,-1.0909417499895562,-1.0887274983482569,-1.0862589266660005,-1.087982400969479,-4.0
4,1.0,-1.0,-0.8703084946710392,-0.8533213158268571,-0.8779034046877734,-0.8824692332605167,-5.0
5,1.0,-1.0,-0.6814535209709756,-0.638594535971979,-0.6812383593020543,-0.6854493212187687,-6.0
6,3.0,-1.0,-0.5389861866841189,-0.5401096185437753,-0.5396165808728065,-0.5473141829166515,-7.0
7,0.0,-1.0,-0.7244786507569222,-0.7182223065636482,-0.7167245225108988,-0.7226614725724694,-8.0
8,1.0,-1.0,-0.9236338514993901,-0.9307039239505986,-0.9299474241992927,-0.9295786513893793,-9.0
9,2.0,-1.0,-0.7244786507569222,-0.7182223065636482,-0.7144081529659468,-0.7226614725724694,-10.0
10,0.0,-1.0,-0.5393436756410255,-0.5401096185437753,-0.5396165808728065,-0.5473141829166515,-11.0
11,1.0,-1.0,-0.6814535209709756,-0.6370626836930284,-0.6812383593020543,-0.6854493212187687,-12.0
12,0.0,-1.0,-0.5396838030378525,-0.5401096185437753,-0.5396165808728065,-0.5473141829166515,-13.0
13,1.0,-1.0,-0.6814535209709756,-0.6355486060839534,-0.6812383593020543,-0.6854493212187687,-14.0
14,0.0,-1.0,-0.5500069024622295,-0.5401096185437753,-0.5396165808728065,-0.5473141829166515,-15.0
15,1.0,-1.0,-0.6814535209709756,-0.6340496692509691,-0.6812383593020543,-0.6854493212187687,-16.0
16,2.0,-1.0,-0.5500069024622295,-0.5401096185437753,-0.5441284054566828,-0.5473141829166515,-17.0
17,0.0,-1.0,-0.20605615977710423,0.010223289710628376,-0.19366273046311636,-0.20164350782375762,-18.0
18,2.0,-1.0,-0.5482247142912359,-0.5473716595774473,-0.5515110144883189,-0.5450189923514929,-19.0
19,3.0,-1.0,-0.5482247142912359,-0.5473716595774473,-0.5515110144883189,-0.5552752494512366,-20.0
20,1.0,-1.0,-0.6814535209709756,-0.6425701591253533,-0.6812383593020543,-0.6854493212187687,-21.0
21,1.0,-1.0,-0.5500069024622295,-0.5451946388298228,-0.5441284054566828,-0.5473141829166515,-22.0
22,2.0,1.0,-0.26368431343183907,-0.27202851306099557,-0.06347281186337558,-0.2764005958749637,-21.0
