Episode,Length,Reward,IMG,LOG
1,25,-23,frames/image1.gif,frames/log1.csv
2,20,-18,frames/image2.gif,frames/log2.csv
3,96,-94,frames/image3.gif,frames/log3.csv
4,74,-72,frames/image4.gif,frames/log4.csv
5,29,-27,frames/image5.gif,frames/log5.csv
6,15,-13,frames/image6.gif,frames/log6.csv
7,79,-77,frames/image7.gif,frames/log7.csv
8,13,-11,frames/image8.gif,frames/log8.csv
9,11,-9,frames/image9.gif,frames/log9.csv
10,55,-53,frames/image10.gif,frames/log10.csv
11,50,-48,frames/image11.gif,frames/log11.csv
12,11,-9,frames/image12.gif,frames/log12.csv
13,19,-17,frames/image13.gif,frames/log13.csv
14,70,-68,frames/image14.gif,frames/log14.csv
15,14,-12,frames/image15.gif,frames/log15.csv
16,29,-27,frames/image16.gif,frames/log16.csv
17,23,-21,frames/image17.gif,frames/log17.csv
18,11,-9,frames/image18.gif,frames/log18.csv
19,65,-63,frames/image19.gif,frames/log19.csv
20,41,-39,frames/image20.gif,frames/log20.csv
21,29,-27,frames/image21.gif,frames/log21.csv
22,55,-53,frames/image22.gif,frames/log22.csv
23,39,-37,frames/image23.gif,frames/log23.csv
24,126,-124,frames/image24.gif,frames/log24.csv
25,59,-57,frames/image25.gif,frames/log25.csv
26,37,-35,frames/image26.gif,frames/log26.csv
27,39,-37,frames/image27.gif,frames/log27.csv
28,67,-65,frames/image28.gif,frames/log28.csv
29,57,-55,frames/image29.gif,frames/log29.csv
30,79,-77,frames/image30.gif,frames/log30.csv
31,43,-41,frames/image31.gif,frames/log31.csv
32,56,-54,frames/image32.gif,frames/log32.csv
33,17,-15,frames/image33.gif,frames/log33.csv
34,35,-33,frames/image34.gif,frames/log34.csv
35,50,-48,frames/image35.gif,frames/log35.csv
36,10,-8,frames/image36.gif,frames/log36.csv
37,42,-40,frames/image37.gif,frames/log37.csv
38,42,-40,frames/image38.gif,frames/log38.csv
39,17,-15,frames/image39.gif,frames/log39.csv
40,52,-50,frames/image40.gif,frames/log40.csv
41,53,-51,frames/image41.gif,frames/log41.csv
42,34,-32,frames/image42.gif,frames/log42.csv
43,43,-41,frames/image43.gif,frames/log43.csv
44,47,-45,frames/image44.gif,frames/log44.csv
45,20,-18,frames/image45.gif,frames/log45.csv
46,89,-87,frames/image46.gif,frames/log46.csv
47,13,-11,frames/image47.gif,frames/log47.csv
48,30,-28,frames/image48.gif,frames/log48.csv
49,21,-19,frames/image49.gif,frames/log49.csv
50,39,-37,frames/image50.gif,frames/log50.csv
51,11,-9,frames/image51.gif,frames/log51.csv
52,63,-61,frames/image52.gif,frames/log52.csv
53,31,-29,frames/image53.gif,frames/log53.csv
54,30,-28,frames/image54.gif,frames/log54.csv
55,28,-26,frames/image55.gif,frames/log55.csv
56,15,-13,frames/image56.gif,frames/log56.csv
57,52,-50,frames/image57.gif,frames/log57.csv
58,30,-28,frames/image58.gif,frames/log58.csv
59,6,-4,frames/image59.gif,frames/log59.csv
60,34,-32,frames/image60.gif,frames/log60.csv
61,30,-28,frames/image61.gif,frames/log61.csv
62,28,-26,frames/image62.gif,frames/log62.csv
63,13,-11,frames/image63.gif,frames/log63.csv
64,55,-53,frames/image64.gif,frames/log64.csv
65,36,-34,frames/image65.gif,frames/log65.csv
66,11,-9,frames/image66.gif,frames/log66.csv
67,8,-6,frames/image67.gif,frames/log67.csv
68,9,-7,frames/image68.gif,frames/log68.csv
69,24,-22,frames/image69.gif,frames/log69.csv
70,30,-28,frames/image70.gif,frames/log70.csv
71,11,-9,frames/image71.gif,frames/log71.csv
72,22,-20,frames/image72.gif,frames/log72.csv
73,29,-27,frames/image73.gif,frames/log73.csv
74,18,-16,frames/image74.gif,frames/log74.csv
75,12,-10,frames/image75.gif,frames/log75.csv
76,20,-18,frames/image76.gif,frames/log76.csv
77,13,-11,frames/image77.gif,frames/log77.csv
78,14,-12,frames/image78.gif,frames/log78.csv
79,12,-10,frames/image79.gif,frames/log79.csv
80,14,-12,frames/image80.gif,frames/log80.csv
81,10,-8,frames/image81.gif,frames/log81.csv
82,10,-8,frames/image82.gif,frames/log82.csv
83,51,-49,frames/image83.gif,frames/log83.csv
84,18,-16,frames/image84.gif,frames/log84.csv
85,19,-17,frames/image85.gif,frames/log85.csv
86,21,-19,frames/image86.gif,frames/log86.csv
87,20,-18,frames/image87.gif,frames/log87.csv
88,8,-6,frames/image88.gif,frames/log88.csv
89,48,-46,frames/image89.gif,frames/log89.csv
90,19,-17,frames/image90.gif,frames/log90.csv
91,24,-22,frames/image91.gif,frames/log91.csv
92,19,-17,frames/image92.gif,frames/log92.csv
93,24,-22,frames/image93.gif,frames/log93.csv
94,36,-34,frames/image94.gif,frames/log94.csv
95,11,-9,frames/image95.gif,frames/log95.csv
96,13,-11,frames/image96.gif,frames/log96.csv
97,15,-13,frames/image97.gif,frames/log97.csv
98,24,-22,frames/image98.gif,frames/log98.csv
99,13,-11,frames/image99.gif,frames/log99.csv
100,13,-11,frames/image100.gif,frames/log100.csv
101,13,-11,frames/image101.gif,frames/log101.csv
102,23,-21,frames/image102.gif,frames/log102.csv
103,7,-5,frames/image103.gif,frames/log103.csv
104,12,-10,frames/image104.gif,frames/log104.csv
105,10,-8,frames/image105.gif,frames/log105.csv
106,22,-20,frames/image106.gif,frames/log106.csv
107,11,-9,frames/image107.gif,frames/log107.csv
108,23,-21,frames/image108.gif,frames/log108.csv
109,43,-41,frames/image109.gif,frames/log109.csv
110,10,-8,frames/image110.gif,frames/log110.csv
111,8,-6,frames/image111.gif,frames/log111.csv
112,17,-15,frames/image112.gif,frames/log112.csv
113,8,-6,frames/image113.gif,frames/log113.csv
114,12,-10,frames/image114.gif,frames/log114.csv
115,18,-16,frames/image115.gif,frames/log115.csv
116,14,-12,frames/image116.gif,frames/log116.csv
117,11,-9,frames/image117.gif,frames/log117.csv
118,6,-4,frames/image118.gif,frames/log118.csv
119,21,-19,frames/image119.gif,frames/log119.csv
120,38,-36,frames/image120.gif,frames/log120.csv
121,17,-15,frames/image121.gif,frames/log121.csv
122,15,-13,frames/image122.gif,frames/log122.csv
123,10,-8,frames/image123.gif,frames/log123.csv
124,19,-17,frames/image124.gif,frames/log124.csv
125,9,-7,frames/image125.gif,frames/log125.csv
126,23,-21,frames/image126.gif,frames/log126.csv
127,6,-4,frames/image127.gif,frames/log127.csv
128,11,-9,frames/image128.gif,frames/log128.csv
129,30,-28,frames/image129.gif,frames/log129.csv
130,7,-5,frames/image130.gif,frames/log130.csv
131,17,-15,frames/image131.gif,frames/log131.csv
132,38,-36,frames/image132.gif,frames/log132.csv
133,19,-17,frames/image133.gif,frames/log133.csv
134,7,-5,frames/image134.gif,frames/log134.csv
135,12,-10,frames/image135.gif,frames/log135.csv
136,22,-20,frames/image136.gif,frames/log136.csv
137,6,-4,frames/image137.gif,frames/log137.csv
138,18,-16,frames/image138.gif,frames/log138.csv
139,16,-14,frames/image139.gif,frames/log139.csv
140,17,-15,frames/image140.gif,frames/log140.csv
141,20,-18,frames/image141.gif,frames/log141.csv
142,23,-21,frames/image142.gif,frames/log142.csv
143,14,-12,frames/image143.gif,frames/log143.csv
144,21,-19,frames/image144.gif,frames/log144.csv
145,7,-5,frames/image145.gif,frames/log145.csv
146,15,-13,frames/image146.gif,frames/log146.csv
147,7,-5,frames/image147.gif,frames/log147.csv
148,17,-15,frames/image148.gif,frames/log148.csv
149,29,-27,frames/image149.gif,frames/log149.csv
150,8,-6,frames/image150.gif,frames/log150.csv
151,43,-41,frames/image151.gif,frames/log151.csv
152,16,-14,frames/image152.gif,frames/log152.csv
153,6,-4,frames/image153.gif,frames/log153.csv
154,14,-12,frames/image154.gif,frames/log154.csv
155,9,-7,frames/image155.gif,frames/log155.csv
156,26,-24,frames/image156.gif,frames/log156.csv
157,11,-9,frames/image157.gif,frames/log157.csv
158,16,-14,frames/image158.gif,frames/log158.csv
159,32,-30,frames/image159.gif,frames/log159.csv
160,44,-42,frames/image160.gif,frames/log160.csv
161,58,-56,frames/image161.gif,frames/log161.csv
162,6,-4,frames/image162.gif,frames/log162.csv
163,21,-19,frames/image163.gif,frames/log163.csv
164,8,-6,frames/image164.gif,frames/log164.csv
165,16,-14,frames/image165.gif,frames/log165.csv
166,14,-12,frames/image166.gif,frames/log166.csv
167,23,-21,frames/image167.gif,frames/log167.csv
168,10,-8,frames/image168.gif,frames/log168.csv
169,16,-14,frames/image169.gif,frames/log169.csv
170,12,-10,frames/image170.gif,frames/log170.csv
171,10,-8,frames/image171.gif,frames/log171.csv
172,22,-20,frames/image172.gif,frames/log172.csv
173,14,-12,frames/image173.gif,frames/log173.csv
174,8,-6,frames/image174.gif,frames/log174.csv
175,20,-18,frames/image175.gif,frames/log175.csv
176,16,-14,frames/image176.gif,frames/log176.csv
177,11,-9,frames/image177.gif,frames/log177.csv
178,13,-11,frames/image178.gif,frames/log178.csv
179,19,-17,frames/image179.gif,frames/log179.csv
180,40,-38,frames/image180.gif,frames/log180.csv
181,8,-6,frames/image181.gif,frames/log181.csv
182,29,-27,frames/image182.gif,frames/log182.csv
183,34,-32,frames/image183.gif,frames/log183.csv
184,20,-18,frames/image184.gif,frames/log184.csv
185,33,-31,frames/image185.gif,frames/log185.csv
186,16,-14,frames/image186.gif,frames/log186.csv
187,9,-7,frames/image187.gif,frames/log187.csv
188,44,-42,frames/image188.gif,frames/log188.csv
189,15,-13,frames/image189.gif,frames/log189.csv
190,18,-16,frames/image190.gif,frames/log190.csv
191,45,-43,frames/image191.gif,frames/log191.csv
192,9,-7,frames/image192.gif,frames/log192.csv
193,7,-5,frames/image193.gif,frames/log193.csv
194,21,-19,frames/image194.gif,frames/log194.csv
195,19,-17,frames/image195.gif,frames/log195.csv
196,15,-13,frames/image196.gif,frames/log196.csv
197,29,-27,frames/image197.gif,frames/log197.csv
198,7,-5,frames/image198.gif,frames/log198.csv
199,7,-5,frames/image199.gif,frames/log199.csv
200,18,-16,frames/image200.gif,frames/log200.csv
201,7,-5,frames/image201.gif,frames/log201.csv
202,61,-59,frames/image202.gif,frames/log202.csv
203,13,-11,frames/image203.gif,frames/log203.csv
204,16,-14,frames/image204.gif,frames/log204.csv
